level,word,pronounciation,meaning,Example
Level 4,convulsive,kuhn-vul-siv,adjective: marked or accompanied by convulsions or spasms,We broke into convulsive laughter when we heard the punchline of the joke.
Level 4,corporation,kaw-puh-ray-shuhn,noun: a business or other united group of people,My sister works for an international corporation.
Level 4,corral,ko-rahl,"noun: a pen or enclosure for horses, cattle, or other animals",We led the horses into the corral when we saw signs of bad weather approaching.
Level 4,courteous,ker-tee-uhs,adjective: well-mannered or polite,The teacher reminded them to be very courteous to the visitors.
Level 4,cubicle,kyooh-bik-uhl,"noun: a small, partly enclosed space","In the library, we each have a cubicle where we can work quietly."
Level 4,cumbersome,kum-buh-suhm,adjective: awkward to handle,The package that arrived was large and cumbersome.
Level 4,curiosity,kyooh-ree-oss-uh-tee,noun: the desire to learn or know about things,The child's curiosity often got her into tricky situations.
Level 4,dandelion,dan-dee-luy-uhn,noun: a plant with yellow flowers which form fluffy balls when they go to seed,The strong wind blew the seeds of the dandelion away.
Level 4,deceptive,duh-sep-tiv,adjective: tending to deceive,The glossy travel brochures were deceptive -- the hotel was definitely not five-star.
Level 4,decorative,dek-uh-ruh-tiv,adjective: serving to make something look more attractive,The candles in the bathroom were purely decorative.
Level 4,decrepit,duh-krep-uht,adjective: made weak or broken down by age,The old car was so decrepit that we could not get it registered.
Level 4,demonstration,dem-uhn-stray-shuhn,noun: a show of someone's skills or abilities in a particular area,The showjumping demonstration was very impressive and showed the riders' great skill.
Level 4,deplorable,duh-plaw-ruh-buhl,adjective: causing grief or regret,He was ashamed of his deplorable actions.
Level 4,dermatology,derm-uh-tol-uh-jee,noun: the study of the skin and its diseases,Researchers in dermatology are trying to find an improved treatment for skin cancer.
Level 4,deteriorate,duh-tear-ree-uh-rayt,verb: to become worse,"If the weather continues to deteriorate, we will have to postpone our canoe trip."
Level 4,diplomacy,duh-ploh-muh-see,noun: skill in managing relations between nations or people,Joe's diplomacy made him an excellent mediator.
Level 4,discussion,duhs-kush-uhn,noun: a talk between people to share opinions,Our class had a long discussion about what song we would sing for the concert.
Level 4,dystopia,dis-toh-pee-uh,noun: an imaginary world in which everything is as bad as it can possibly be,The sci-fi film was a set in a dystopia where everyone had turned into robots.
Level 4,ecstasy,ek-stuh-see,noun: a sudden feeling of great joy,The music induced a state of ecstasy in the audience.
Level 4,edifice,ed-uh-fuhs,"noun: a building, especially a large or impressive one",The Parthenon is the most famous surviving edifice of ancient Greece.
Level 4,electricity,el-uhk-triss-uh-tee,"noun: a form of energy which can be used for heating, lighting, driving a motor, and other things",We had no electricity in our house because a falling tree had brought down the wires.
Level 4,embarrass,em-ba-ruhs,verb: to cause to feel uncomfortable,My mother's old-fashioned ideas sometimes embarrass me in front of my friends.
Level 4,eventual,uh-ven-chooh-uhl,adjective: final or last,The eventual outcome will not be known until next week.
Level 4,experience,ek-spear-ree-uhns,noun: knowledge and practical skill gained from what you have done,"To be a travel consultant, it helps to have some experience of travel."
Level 4,fastidious,fass-tid-ee-uhs,adjective: fussy or hard to please,"If you are too fastidious, the job will take too long."
Level 4,ferocity,fuh-ross-uh-tee,noun: savage fierceness,The attack was executed with frightening ferocity.
Level 4,finicky,fin-uh-kee,"adjective: full of small, unimportant detail",Dad said that painting the lattice fence would be a very finicky job.
Level 4,flagrant,flay-gruhnt,adjective: obvious in a shameless way,You can't have expected such a flagrant breach of school rules to go unnoticed!
Level 4,graffiti,gruh-fee-tee,noun: drawings or words written without permission on walls in public places,The bus shelter was covered with graffiti.
Level 4,guttural,gut-uh-ruhl,adjective: harsh and throaty,The old man spoke with a guttural voice.
Level 4,helium,hee-lee-uhm,noun: a gas which is lighter than air and is often used to fill balloons,These balloons are filled with helium so don't let go or they'll float away.
Level 4,hilarious,huh-lair-ree-uhs,adjective: noisily cheerful,"We had a hilarious time, jumping and splashing in the waves."
Level 4,immediate,im-ee-dee-uht,adjective: happening straight away,My immediate reaction was to laugh.
Level 4,imperial,im-peer-ree-uhl,adjective: belonging to an empire,The emperor of Japan lives in the imperial palace in Tokyo.
Level 4,impromptu,im-promp-tyooh,"adjective: made or done on the spot, without any previous preparation","At my friend's birthday party, they asked me to give an impromptu performance on the piano, so I played my favourite piece."
Level 4,incision,in-sizh-uhn,noun: a cut with a knife,The surgeon began the operation by carefully making an incision.
Level 4,infirmary,in-fer-muh-ree,noun: a kind of hospital,The teacher sent me to the school's infirmary when I wasn't feeling well.
Level 4,innuendo,in-yooh-en-doh,noun: a remark that suggests something unpleasant about someone without actually stating it,The campaign was marked by innuendo designed to discredit the new candidate.
Level 4,instalment,in-stawl-muhnt,noun: a single part of a story being published in several parts one after the other,I can't wait to read the next instalment of the story in the school magazine.
Level 4,intermittent,in-tuh-mit-uhnt,adjective: stopping and starting,There was intermittent rain all day but the temperature stayed quite warm.
Level 4,inundate,in-un-dayt,verb: to overwhelm with a flood or with something like a flood,I hope our teacher doesn't inundate us with assignments over the holidays.
Level 4,involuntary,in-vol-uhn-tree or in-vol-uhn-terry,adjective: unintentional,She gave an involuntary gasp as the film reached its frightening climax.
Level 4,jamboree,jam-buh-ree,noun: a large gathering of Scouts,More than 8000 Scouts attended the jamboree last year.
Level 4,knuckle,nuk-uhl,"noun: a finger joint, especially the bottom joint where the finger meets the rest of the hand",He knocked so hard on the door that he bruised his knuckle.
Level 4,luxuriant,lug-zhooh-ree-uhnt,adjective: strong in growth,The luxuriant forest was thick with ferns and hanging vines.
Level 4,mackerel,mak-uh-ruhl,"noun: a shiny, greenish fish which is used for food",The mackerel was served with chips and a wedge of lemon.
Level 4,malady,mal-uh-dee,"noun: any bodily disorder or disease, especially one that is chronic or deep-seated",He didn't leave his house for weeks because of his malady.
Level 4,malicious,muh-lish-uhs,adjective: showing a desire to hurt or cause harm,Her bitterness made her say malicious things about the family.
Level 4,medication,med-uh-kay-shuhn,"noun: a substance used to treat an illness, such as a liquid medicine or tablets",The doctor warned if I didn't take the medication for the full length of time then the problem would come back.
Level 4,mercurial,mer-kyooh-ree-uhl,adjective: rapidly changing in mood,It's hard to predict when he'll be in a bad mood because he has such a mercurial personality.
Level 4,meteorite,mee-tee-uh-ruyt,noun: a mass of stone or metal that has reached the earth from outer space,Tiny fragments of the meteorite can still be found where it smashed into the earth thousands of years ago.
Level 4,miniature,min-uh-chuh,noun: a very small copy or model of something,The model castle is a miniature of the real thing.
Level 4,monarch,mon-ahk,"noun: a ruler of a country who inherits the position, such as a king or queen",I wonder who will be England's next monarch?
Level 4,multicultural,mul-tee-kul-chuh-ruhl,adjective: containing groups of people of different cultures or ethnic backgrounds,"Our class is quite multicultural with students from Europe, Asia and Africa."
Level 4,mythical,mith-i-kuhl,"adjective: relating to an ancient story about gods, brave people and supernatural happenings, which may try to explain natural events","I wish the centaur really did exist, but it's a mythical creature."
Level 4,niche,neesh,noun: a place or position suitable for a person or thing,The new airline has found its own niche in the industry.
Level 4,officious,uh-fish-uhs,adjective: too eager to force your services upon others and to tell them what to do,"If there is one thing I don't like, it is officious bureaucrats."
Level 4,ominous,om-uh-nuhs,adjective: threatening,We thought we were safe in the deserted house until we heard an ominous creaking.
Level 4,perceptible,puh-sep-tuh-buhl,adjective: able to be detected,The only perceptible difference between the twins was that Mia was slightly taller.
Level 4,philosophy,fuh-loss-uh-fee,noun: the search for knowledge and the answers to questions such as ‘Why do I exist?’ and ‘What is the purpose of life?’,The question ‘What is the purpose of life?’ is often discussed in philosophy.
Level 4,piteous,pit-ee-uhs,adjective: causing you to feel pity,The piteous cries of the baby birds was a sign that they were hungry.
Level 4,pleasurable,plezh-uh-ruh-buhl,adjective: giving pleasure,Catching up with my cousin is always a pleasurable experience.
Level 4,plethora,pleth-uh-ruh,noun: a superabundance of something,I noticed a plethora of spelling mistakes in the article.
Level 4,porcupine,pawk-yuh-puyn,"noun: a small animal covered with stiff, sharp spines, found in Europe, Africa, and North America",Falling onto the porcupine was a nasty experience -- for us both.
Level 4,promulgate,prom-uhl-gayt,verb: to make known by public declaration,The government will promulgate the new law next week.
Level 4,quandary,kwon-duh-ree,noun: confusion about the best thing to do,I'm in a quandary about what to wear to this fancy-dress party.
Level 4,quokka,kwok-uh,"noun: a small wallaby, just larger than a cat, with rounded ears and a short face",The quokka is only found on a small island off the western coast of Australia.
Level 4,rehabilitate,ree-huh-bil-uh-tayt,"verb: to help return someone to normal activities, especially after an illness or accident, or after having been in prison",I really liked the physiotherapist who helped me rehabilitate after my accident.
Level 4,reimburse,ree-im-bers,verb: to pay back or refund,The school will reimburse the teacher for the costs of the excursion.
Level 4,resilient,ruh-zil-ee-uhnt,"adjective: able to become strong, healthy or happy again after an illness or misfortune",He showed how resilient he was by returning to work a few days after the accident.
Level 4,retrospective,ret-ruh-spek-tiv,adjective: having to do with or coming from the past,The retrospective exhibition included a painting from the artist's childhood.
Level 4,righteous,ruy-chuhs,adjective: good and upright,He was a righteous man and respected by all.
Level 4,salamander,sal-uh-man-duh,"noun: a type of amphibian with a tail, which lives in the water when very young, but later lives on land",A salamander looks like a lizard but it doesn't have scales.
Level 4,sanitary,san-uh-tree or san-uh-terry,adjective: having to do with cleanliness or care in preventing disease,"All procedures at the hospital must be sanitary, or germs will quickly spread."
Level 4,scaffolding,skaf-uhl-ding,noun: a system of building supports,Workers had to erect scaffolding around the outside of the building before restoration could begin.
Level 4,scenario,suh-nah-ree-oh or suh-nair-ree-oh,noun: an outline of a general situation or plan,The scientists described a grim scenario if the drought continued.
Level 4,scoundrel,skown-druhl,noun: a wicked and immoral person,My grandmother called the thief a scoundrel.
Level 4,souvenir,sooh-vuh-near,noun: something you keep as a memory of a place or event,I brought home a big shell as a souvenir of my beach holiday.
Level 4,stegosaurus,steg-uh-saw-ruhs,"noun: a large, herbivorous dinosaur, with a heavy bony armour",The bony armour of the stegosaurus helped protect it against its enemies.
Level 4,stethoscope,steth-uh-skohp,noun: an instrument used by doctors to listen to the sounds made by the heart and lungs,The doctor placed the stethoscope on my back and listened while I took a deep breath.
Level 4,strategic,struh-tee-jik,adjective: important in a strategy or a plan,The cameras are located in strategic positions to ensure the best coverage.
Level 4,supervisor,sooh-puh-vuy-zuh,noun: someone who supervises or manages,The supervisor gave them an hour off to watch the Melbourne Cup.
Level 4,surmount,ser-mownt,"verb: to get over or across something, such as an obstacle or problem","If you can surmount these obstacles, you will be in a far better position."
Level 4,symptom,simp-tuhm,noun: something that shows that you have a disease or illness of some kind,A high temperature is a symptom of the flu.
Level 4,synthetic,sin-thet-ik,"adjective: made from artificial substances, not natural ones","Fabrics made from synthetic fibres can be hot to wear, as they don't let air through."
Level 4,tenacious,tuh-nay-shuhs,adjective: characterised by keeping a firm hold,The octopus kept a tenacious grip on its prey.
Level 4,territorial,te-ruh-taw-ree-uhl,adjective: of or relating to a specific area,"Dingoes are territorial animals, and rarely venture far from home."
Level 4,tertiary,ter-shuh-ree,adjective: relating to schooling at a college or university,She is not interested in tertiary education and wants to go straight into a job when she leaves school.
Level 4,treasurer,trezh-uh-ruh,"noun: someone in charge of the money belonging to a company, club or city",He was elected treasurer at the annual general meeting.
Level 4,trepidation,tre-puh-day-shuhn,noun: fearful alarm or agitation,I was filled with great trepidation when I saw the big hairy spider.
Level 4,triceratops,truy-se-ruh-tops,noun: a large plant-eating dinosaur with three horns on its head and a bony crest on its neck,The survey found that the triceratops was the favourite dinosaur of kindergarten students.
Level 4,unanimous,yooh-nan-uh-muhs,adjective: showing complete agreement,There was a unanimous decision to add fresh fruit to the canteen list.
Level 4,unique,yooh-neek,adjective: to be different from all the others,The Sydney Opera House is unique -- there's nothing like it anywhere else.
Level 4,unruffled,un-ruf-uhld,"adjective: of a person, calm or undisturbed",Her unruffled reaction to the mounting problems gave us hope that things were not so bad.
Level 4,upheaval,up-hee-vuhl,noun: a complete change or great disturbance,"After having to default on its debt, the entire country was in upheaval."
Level 4,visibility,viz-uh-bil-uh-tee,"noun: the distance you can see, given the weather conditions or time of day","Drive slowly, because visibility is poor when it is raining so heavily."
Level 4,waratah,wo-ruh-tah,noun: an Australian shrub with large red flowers,The waratah is the floral emblem of New South Wales.
Level 4,annotate,an-uh-tayt,verb: to supply with notes or make remarks upon,It took years for the professor to annotate the works of Shakespeare.
Level 4,antonym,an-tuh-nim,noun: a word which has an opposite meaning to another word,‘Hot’ is the antonym of ‘cold’.
Level 4,character,ka-ruhk-tuh,noun: someone in a story or play,He played the lead character in the school play.
Level 4,critique,kri-teek,noun: an article or essay reviewing something,The newspaper featured a critique of the new film.
Level 4,dialogue,duy-uh-log,"noun: a conversation between two or more people, especially in a play or story",The actors were asked to quickly memorise the dialogue.
Level 4,documentary,dok-yooh-men-tuh-ree,"noun: a film, television or radio program about a real event or someone's life",We watched a documentary about the Great Barrier Reef on television last night.
Level 4,elegy,el-uh-jee,noun: a mournful or melancholy poem,The poet wrote a beautiful elegy about the tragedy of Romeo and Juliet.
Level 4,exposition,ek-spuh-zish-uhn,noun: a detailed or spoken text type with the purpose of explaining something,An exposition usually starts with a summary of the main points of the argument.
Level 4,falsetto,fawl-set-oh,"noun: a very high-pitched voice, especially in a man",My favourite opera singer often sings in a falsetto.
Level 4,glossary,gloss-uh-ree,"noun: a list of special or difficult words about a particular subject, with their definitions",There was a glossary of terms at the end of the astronomy book.
Level 4,heroine,he-ruh-wuhn,"noun: the female character who has the main part in a book, film or play",The heroine jumped on her horse and raced to save the townspeople.
Level 4,illustration,il-uhs-tray-shuhn,noun: a picture in a book,The illustration at the bottom of the page shows how a tadpole turns into a frog.
Level 4,memoir,mem-wah,noun: a record of events based on the personal experience of the writer,The film star's memoir described her childhood love of going to the cinema.
Level 4,monochrome,mon-uh-krohm,noun: a painting or drawing in different shades of a single colour,The painting was a monochrome of blue shades.
Level 4,musician,myooh-zish-uhn,noun: someone who plays or composes music,I practise the piano every day because I want to have a career as a musician.
Level 4,orator,o-ruh-tuh,"noun: a public speaker, especially a skilful one","He was a great orator, and the audience was captivated as soon as he uttered the first word of his speech."
Level 4,playwright,play-ruyt,noun: someone who writes plays,Shakespeare is the most famous English playwright.
Level 4,rhythm,ridh-uhm,noun: the pattern of beats in music or speech,The crowd started clapping to the rhythm of the music.
Level 4,semibreve,sem-ee-breev,noun: a musical note which is four crotchets long,In our music class we learned that a semibreve is a note which is twice as long as a minim and four times as long as a crotchet.
Level 4,simile,sim-uh-lee,"noun: a figure of speech which points out a likeness between two generally unlike things, usually using the words `like' or `as'",An example of a simile is `She sings like a bird'.
Level 4,Spielberg,speel-berg,"noun: a US film director; his many films include Jaws, E.T. The Extra-Terrestrial and Jurassic Park",Steven Spielberg has to be my favourite director -- I couldn't go into the water for weeks after seeing Jaws.
Level 4,theatre,thear-tuh,"noun: a building or hall for presenting plays, opera, ballet, and so on",The play opens at the local theatre on Friday.
Level 4,anchovy,an-chuh-vee or an-choh-vee,noun: a small fish with a very salty taste,I picked the anchovy off my pizza because it was too salty.
Level 4,biscotti,bis-kot-ee,"plural noun: Italian biscuits, often flavoured with hazelnuts or almonds",When I stay with my grandma we always have a hot drink and biscotti for afternoon tea.
Level 4,boysenberry,boy-zuhn-be-ree,noun: a blackberry-like fruit with a flavour similar to raspberries,She told us that the boysenberry was her favourite berry.
Level 4,brioche,bree-osh,"noun: a kind of light, sweet bun or roll, raised with eggs and yeast",I think the best type of French toast is made with brioche.
Level 4,cafeteria,kaf-uh-teer-ree-uh,noun: a cheap self-service restaurant,We had a coffee in the hospital cafeteria.
Level 4,celery,sel-uh-ree,"noun: a vegetable with long, pale green stems",We can buy sticks of celery at our school canteen.
Level 4,cuisine,kwuh-zeen,noun: a style of cooking,The restaurant served modern Australian cuisine.
Level 4,delectable,duh-lek-tuh-buhl,adjective: delicious,The food at the wedding reception was delectable.
Level 4,digestion,duy-jess-chuhn,noun: the act of or process by which you digest food,Eating your food slowly helps digestion.
Level 4,frittata,fri-tah-tuh,noun: an open omelette containing ingredients such as vegetables and cheese,"We need eggs, onion, capsicum, ham and lots of cheese to make our frittata."
Level 4,guava,gwah-vuh,"noun: a tropical fruit with pink, juicy flesh",I could tell that the guava was ripe just by the smell of it.
Level 4,luncheon,lunch-uhn,noun: a rather formal meal in the middle of the day,Luncheon at the hotel was to be served in the main dining room.
Level 4,nougat,nooh-gah,"noun: a hard chewy sweet, usually white or pink and containing nuts",Traditional nougat tastes distinctly of almonds.
Level 4,quiche,keesh,"noun: a tart filled with a mixture of cooked eggs, cream and cheese, often eaten cold",My quiche came with a side of chips and salad.
Level 4,recipe,res-uh-pee,noun: instructions on how to cook something,We followed the recipe exactly and made the best lamingtons ever.
Level 4,sucrose,soohk-rohz or soohk-rohs,"noun: a crystalline carbohydrate, obtained from sugar cane, sugar beet, and so on",Sucrose is the most common food sweetener in the industrialised world.
Level 4,sustenance,sus-tuh-nuhns,noun: nourishment gained from what you eat,Athletes need to ensure they have plenty of sustenance in their diets.
Level 4,vegetarian,vej-uh-tair-ree-uhn,noun: someone who does not eat meat or fish and lives mainly or totally on vegetable food,Our visitor was a vegetarian so we cooked a mushroom pasta dish for dinner.
Level 4,wholegrain,hohl-grayn,adjective: containing or made from the whole of the grain of something,"To be healthier, you should eat wholegrain breads and cereals."
Level 4,Belgium,bel-juhm,"noun: a kingdom in north-western Europe, on the North Sea","Belgium has three official languages -- Dutch, French and German."
Level 4,caldera,kal-dair-ruh,noun: a large crater formed by the explosion or sinking of the cone of a volcano,There was a mist over the lake in the volcano's caldera.
Level 4,cartography,kah-tog-ruh-fee,noun: the making of maps or charts,People who work in cartography have to be very precise because maps need to be exact.
Level 4,fissure,fish-uh,noun: a crack or split,The earthquake caused a fissure in the cliff.
Level 4,Hillary,hil-uh-ree,noun: a New Zealand explorer and mountaineer who was born in 1919 and died in 2008,In 1953 Sir Edmund Hillary and Tenzing Norgay were the first people to reach the summit of Mount Everest.
Level 4,Himalayas,him-uh-lay-uhz,plural noun: a lofty mountain system extending about 2400 km along the border between India and Tibet,The highest peak of the Himalayas is Mount Everest.
Level 4,hurricane,hu-ruh-kuhn or hu-ruh-kayn,noun: a violent tropical storm with a very strong wind,The hurricane tore the roof off the football stadium.
Level 4,Jamaica,juh-may-kuh,noun: a parliamentary state in the West Indies,Jamaica is the third largest island in the Caribbean Sea.
Level 4,Malaysia,muh-lay-zhuh,noun: a federal monarchy in South-East Asia,"Kuala Lumpur is the capital of Malaysia, and its largest city."
Level 4,monolith,mon-uh-lith,"noun: a single, huge rock",Uluru in the centre of Australia is the largest monolith in the world.
Level 4,Paraguay,pa-ruh-gwuy or pa-ruh-gway,"noun: a republic in central South America, bordered by Brazil, Argentina and Bolivia","Paraguay is a landlocked country, with no coastline."
Level 4,plateau,plat-oh,"noun: a large, flat stretch of high ground","From the plateau at the top of the mountain, we could see the endless plain beyond."
Level 4,precipice,press-uh-puhs,noun: a very steep cliff,They stood at the top of the precipice and watched the waves crashing below.
Level 4,squall,skwawl,noun: a sudden strong wind which dies away rapidly,The boat's mast snapped during the sudden squall.
Level 4,Switzerland,swits-uh-luhnd,"noun: a federal republic in western central Europe, in the Alps and the Jura Mountains",Watches from Switzerland are supposed to be the best in the world.
Level 4,vegetation,vej-uh-tay-shuhn,noun: the whole plant life of a particular area,Much of the vegetation was cleared for grazing animals.
Level 4,Yosemite,yoh-sem-uh-tee,"noun: a deep valley in the US, in eastern California, in the Sierra Nevada mountains; a part of Yosemite National Park",We saw a black bear on our tour of Yosemite.
Level 4,barometer,buh-rom-uh-tuh,"noun: an instrument that measures air pressure, used to help work out what changes in the weather can be expected",The barometer is falling which means we are in for bad weather.
Level 4,bisector,buy-sek-tuh,noun: a line or plane which divides an angle or line into two,He used a protractor to draw the bisector of the angle.
Level 4,Celsius,sel-see-uhs,"adjective: a scale used to measure temperature, where 0 degrees is the melting point of ice and 100 degrees is the boiling point of water",The temperature at the centre of the sun is 15 million degrees Celsius.
Level 4,circumference,suh-kum-fuh-ruhns,"noun: the distance around something, especially around a circle or circular object",The good thing about knowing the circumference of a circle is that you can then work out its diameter.
Level 4,combustion,kuhm-bus-chuhn,noun: the process of burning,The heater worked on a process of slow combustion.
Level 4,contraption,kuhn-trap-shuhn,noun: a complicated device or piece of machinery,They pulled the contraption apart to try and see how it worked.
Level 4,decibel,dess-uh-bel,noun: a measure of loudness used to show how much louder one sound is than another,If the music raises one decibel louder we are sure our ears will explode!
Level 4,diameter,duy-am-uh-tuh,noun: the straight line which goes through the centre of a circle from one side to the other,The part of a circle on one side of the diameter is always exactly half the whole circle.
Level 4,evaporate,ee-vap-uh-rayt,verb: to dry up and disappear,"There is water in that puddle now, but it will probably evaporate during the day."
Level 4,experiment,ek-spe-ruh-muhnt,noun: a test carried out to discover something,My experiment didn't work because I used the wrong quantities.
Level 4,frequency,free-kwuhn-see,noun: the rate of movements in a sound wave,What is the frequency of your favourite radio station?
Level 4,horizontal,ho-ruh-zon-tuhl,"adjective: parallel, or in line, with the horizon, as opposed to vertical",Competing in the high jump meant that we had to leap over a horizontal bar which was progressively raised higher.
Level 4,observation,ob-zuh-vay-shuhn,noun: the act of noticing or watching,The researcher's observation of the koalas' habitat produced a lot of information about how endangered they are.
Level 4,oxygen,ok-suh-juhn,noun: a gas with no colour or smell which is a necessary part of the air we breathe,Red blood cells carry oxygen to every cell in your body.
Level 4,parallel,pa-ruh-lel,adjective: side by side and the same distance from each other at every point along the way,The two lines of a railway track are parallel.
Level 4,programming,proh-gram-ing,noun: the writing of instructions in a computer language which will cause a computer to perform a particular operation,My sister is studying programming because she loves working with computers.
Level 4,theorem,thear-ruhm,noun: a statement containing something to be proved in mathematics,Our maths teacher showed us two different ways to prove the theorem.
Level 4,triangulate,truy-ang-gyuh-layt,"verb: to determine a height or distance, and so on, by dividing an area into triangles and measuring their angles",They used the measurements given to triangulate the distance.
Level 4,adventurous,uhd-ven-chuh-ruhs,adjective: wanting to take part in adventures,Jodie was very adventurous -- she was always exploring new places.
Level 4,agility,uh-jil-uh-tee,noun: the ability to move quickly and easily,The gymnast showed great agility in her performance on the bar.
Level 4,amateur,am-uh-tuh or am-uh-chuh,noun: an athlete who does not earn money from playing sport,"At the moment he plays cricket as an amateur, but he would like to be a professional player one day."
Level 4,billiards,bil-yuhdz,"noun: a game played on a long table, with hard balls hit by a long stick called a cue","After dinner, we walked down to the clubhouse to have a game of billiards."
Level 4,bocce,boch-ay,noun: an Italian form of the game of bowls,Bocce is played in teams of one to four players.
Level 4,challenger,chal-uhn-juh,noun: a contestant who is trying to defeat someone who is the current champion in a competition,"She has won the school tennis championship for three years in a row, but the new student will be a serious challenger this year."
Level 4,deodorant,dee-oh-duh-ruhnt,noun: something which prevents or removes bad smells,People who play sport need a very strong deodorant!
Level 4,dexterity,deks-te-ruh-tee,"noun: skill or cleverness, especially in using your hands",It takes great dexterity to juggle three balls.
Level 4,dressage,dress-ahzh,noun: the art of training a horse in obedience and deportment,Laura and her horse Arnie won first prize in the dressage event.
Level 4,entertainment,en-tuh-tayn-muhnt,"noun: something that interests and amuses, especially an exhibition or performance of some kind",There are all types of entertainment at the Royal Easter Show.
Level 4,exhaustion,eg-zaws-chuhn,noun: the state of being worn out or weary,"At the end of the cross-country race, all she felt was complete exhaustion."
Level 4,heavyweight,hev-ee-wayt,noun: a boxer in one of the heaviest groups,Muhammad Ali was a world heavyweight champion.
Level 4,regimen,rej-uh-muhn,"noun: a regulated course of diet, exercise, or manner of living, intended to preserve or restore health or to attain some result",She had to follow a strict regimen of training if she was to be fit enough to complete a marathon.
Level 4,rejuvenate,ruh-jooh-vuh-nayt,verb: to make feel young or energetic again,Swimming in the fresh ocean water will rejuvenate them.
Level 4,semifinalist,sem-ee-fuy-nuh-luhst,noun: a player or team contesting a semifinal,Gina never dreamt that she would be a semifinalist at Wimbledon.
Level 4,stoppage,stop-ij,"noun: a stop in play, especially in team sports",There was a stoppage in play until the injured player was taken from the field.
Level 4,tournament,taw-nuh-muhnt,noun: a meeting for contests in sport or other games,I played in a tennis tournament last weekend and made it to the semifinals.
Level 4,tricycle,truy-sik-uhl,"noun: a vehicle you pedal, with three wheels, one at the front and two at the back",My little sister rides a tricycle because she doesn't have very good balance yet.
Level 4,wrestling,ress-ling,"noun: an exercise or sport in which two people struggle hand to hand, each striving to throw or force the other to the ground",Wrestling can be a dangerous sport -- but not as dangerous as boxing.
Level 4,yacht,yot,noun: a sailing boat used for sport or pleasure,It was his dream to sail his yacht in a big ocean race.
Level 5,amphibious,am-fib-ee-uhs,"adjective: able to live, move or operate both on land and in water",A frog is an amphibious animal.
Level 5,analgesic,an-uhl-jee-zik,noun: a medicine that removes or reduces pain,She took an analgesic and soon her headache was gone.
Level 5,anecdotal,an-uhk-doh-tuhl,"adjective: relating to, or consisting of an interesting story",The judge rejected the testimony as it was all based on anecdotal evidence.
Level 5,antecedent,an-tuh-see-duhnt,adjective: going or being before something,The misunderstanding could be explained by the succession of antecedent events.
Level 5,archetype,ah-kuh-tuyp,noun: a typical example,"With his sun-bleached hair and tanned skin, he is the archetype of a surfer."
Level 5,aspersion,uh-sper-zhuhn or uh-sper-shuhn,noun: a harmful remark or criticism,Her old enemy was quick to cast an aspersion on her character.
Level 5,autonomous,aw-ton-uh-muhs,adjective: self-governing,"Although the organisation is associated with the United Nations, it is autonomous, so makes its own decisions."
Level 5,bankruptcy,bangk-rup-see,noun: the state of being unable to pay your debts,He knew he would be facing bankruptcy unless the business started to make a profit.
Level 5,barrister,ba-ruhs-tuh,noun: a lawyer whose main work is presenting cases in court,The barrister questioned the witness for nearly an hour.
Level 5,boisterous,boy-struhs,adjective: rough and noisy,There was a boisterous crowd at the football match.
Level 5,cachet,kash-ay or kash-ay,noun: prestige or distinction,"She invited her famous friend along, because she thought he would add a certain cachet to the party."
Level 5,capricious,kuh-prish-uhs or kuh-preesh-uhs,adjective: suddenly changing your mind without apparent reason,"She is so capricious, it's hard to know what she'll do next!"
Level 5,catastrophe,kuh-tass-truh-fee,noun: a sudden disaster,Many houses were lost in the catastrophe.
Level 5,celestial,suh-less-tee-uhl,adjective: having to do with the sky or heavens,The painting was of angels and other celestial beings.
Level 5,cerebral,se-ruh-bruhl or suh-ree-bruhl,adjective: having to do with intellectual thought as opposed to physical activity,I'm good at sports but my sister excels in cerebral pursuits.
Level 5,conurbation,kon-er-bay-shuhn,noun: a large heavily populated area formed by growth and the gradual joining together of previously separate towns,The conurbation of Sydney keeps spreading further and further outwards.
Level 5,curriculum,kuh-rik-yuh-luhm,noun: a set of courses of study,The art curriculum includes a segment on photography.
Level 5,cyclamen,suy-kluh-muhn or sik-luh-muhn,"noun: a type of plant with white, purple, pink, or red flowers",The petals of the cyclamen are unusual in that they fold backwards.
Level 5,cynicism,sin-uh-siz-uhm,noun: a cynical way of thinking,Her newspaper articles were known for their sharpness and cynicism.
Level 5,ebullient,uh-bool-ee-uhnt or uh-bul-ee-uhnt,adjective: full of eagerness and excitement,He has an ebullient nature and is always fun to be around.
Level 5,egotistical,ee-guh-tis-tik-uhl or eg-uh-tis-tik-uhl,adjective: self-centred and conceited,The star came across as egotistical in the interview but I didn't think much of their acting skills.
Level 5,euphemism,yooh-fuh-miz-uhm,noun: a mild word or phrase chosen to replace one that some people might find unpleasant,‘Letting someone go’ is often used as a euphemism for ‘firing someone’.
Level 5,foible,foy-buhl,noun: a slight weakness in someone's character,His major foible is spending too much money on computer games.
Level 5,fortuitous,faw-tyooh-uh-tuhs,adjective: happening by chance or by good luck,"I needed to speak to her, so it was fortuitous that I bumped into her on my way to the shops."
Level 5,gargoyle,gah-goyl,"noun: a spout, often carved in the shape of an ugly head with an open mouth, which carries rainwater off a roof",Each corner of the old building was adorned with an ugly gargoyle.
Level 5,geriatric,je-ree-at-rik,adjective: having to do with old people or their care,The nurses who look after my grandma in the geriatric hospital are wonderful.
